['http://192.168.1.192:8086/vul/sqli/sqli_id.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/csrf/csrfpost/csrf_post_login.php', 'CSRF漏洞:CSRF Token文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/burteforce/burteforce.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/burteforce/bf_server.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/unsafedownload/down_nba.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/fileinclude/fileinclude.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xss/xss_stored.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_x.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS JavaScript目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL inject vulnerability']
['http://192.168.1.192:8086/vul/unsafedownload/unsafedownload.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/unserilization/unserilization.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/infoleak/findabc.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/csrf/csrfget/csrf_get_login.php', 'CSRF漏洞:CSRF Token文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/sqli.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/rce.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/rce/rce.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/unsafeupload/upload.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/ssrf_fgc.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_iu/sqli_login.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/dir/dir_list.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/sqli_del.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_search.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/fileinclude/fi_local.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/xxe/xxe_1.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/index.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/csrf/csrf.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xss/xss_dom_x.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/fileinclude/fi_remote.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_01.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS JavaScript目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL bool blinds  vulnerability']
['http://192.168.1.192:8086/pikachu/vul/ssrf/ssrf.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/ssrf/ssrf_fgc.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_04.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS GET Reflected目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/burteforce/bf_token.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/burteforce/bf_client.php', '暴力破解漏洞:表单暴力破解漏洞文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/unsafedownload.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/burteforce/bf_client.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_id.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL inject vulnerability']
['http://192.168.1.192:8086/pikachu/vul/unsafeupload/getimagesize.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/pkxss_install.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_widebyte.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pkxss/index.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/unsafeupload/clientcheck.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/unsafedownload/down_nba.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_str.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/sqli_reg.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
